Date,Close,High,Low,Open,Volume,RSI_14,MACD,MACD_signal,MACD_diff,SMA_20,SMA_50,EMA_20,EMA_50
2023-03-06,6060.8173828125,6145.6911731909,6044.493839511425,6062.955204300457,113971.0,37.788935888888865,-89.47065656309951,-39.77931262592651,-49.691343937173,6316.733715820313,6256.2198046875,6229.408192071771,6341.039803889561
2023-03-08,6160.46142578125,6177.562102624809,5985.75830363109,6024.235775406959,164335.0,44.65245706122062,-83.15227246406084,-48.453904593553375,-34.69836787050747,6299.618115234375,6257.921181640625,6222.841833377436,6333.958298865706
2023-03-09,6106.38818359375,6199.084054599214,6082.534344908047,6189.415938828156,91114.0,41.94784631487244,-81.56790227647707,-55.07670413013812,-26.491198146338952,6279.5389404296875,6255.062587890625,6211.751009588514,6325.033980619747
2023-03-10,6072.1376953125,6140.83360276456,6005.7741295392,6046.680726749195,88898.0,40.283456034429236,-82.12927054195734,-60.48721741250197,-21.64205312945537,6258.3642578125,6253.454501953125,6198.454503466988,6315.116479235149
2023-03-13,5957.14306640625,6116.542201190712,5946.697819597227,6072.137566840979,89686.0,35.22933721558974,-90.80650359100036,-66.55107464820165,-24.255428942798716,6231.5126953125,6251.016640625,6175.472461842156,6301.078306183035
2023-03-14,5890.63330078125,6014.42152465958,5751.2014032699735,5986.972388041506,220025.0,32.67582559341457,-101.87569593180524,-73.61599890492238,-28.25969702688286,6206.7623291015625,6246.675302734375,6148.344922693498,6284.98242361826
2023-03-15,5915.45849609375,6018.405088702364,5886.260579166762,5927.069912993933,107844.0,34.58182913349853,-107.40680602082102,-80.3741603281021,-27.032645692718916,6182.045947265625,6242.54869140625,6126.165263017331,6270.4912892055345
2023-03-16,5941.7421875,5965.83893872243,5860.026256405343,5915.410354666842,101504.0,36.62748227430578,-108.41958291831725,-85.98324484614514,-22.436338072172106,6156.061572265625,6236.688671875,6108.601160587109,6257.599167570023
2023-03-17,5984.3974609375,6022.680408745119,5965.693182463228,5975.60421070307,109736.0,39.91143206271414,-104.57481841372555,-89.70155955966122,-14.873258854064332,6130.324975585938,6232.59705078125,6096.772236810955,6246.885375153061
2023-03-20,5866.77978515625,6023.263973991976,5801.727567140843,5801.727567140843,100299.0,34.58891532353623,-109.75340932385916,-93.71192951250082,-16.041479811358343,6099.963330078125,6227.748515625,6074.868193796222,6231.979273584559
